mot_anglais,traduction_francaise
word, mot
the, le
and, et
to, à
of, de
a, un
in, dans
is, est
that, que
for, pour
I, je
you, tu
it, ce
with, avec
on, sur
as, comme
are, sont
be, être
this, cela
was, était
have, avoir
or, ou
at, à
not, pas
your, ton/votre
from, de
we, nous
by, par
will, volonté
can, pouvoir
but, mais
they, ils/elles
an, un
he, il
all, tout
has, a
if, si
their, leur
one, un
do, faire
more, plus
my, mon
his, son
so, donc
there, là
about, à propos
which, lequel
when, quand
what, quoi
out, dehors
up, haut
our, notre
who, qui
also, aussi
had, avait
time, temps
some, quelques
would, voudrait
were, étaient
like, comme
been, été
just, juste
her, sa
new, nouveau
other, autre
them, eux
she, elle
people, gens
these, ces
no, non
get, obtenir
how, comment
me, moi
into, dans
than, que
only, seulement
its, son
most, la plupart
may, peut
any, n'importe quel
many, beaucoup
make, faire
then, alors
well, bien
first, premier
very, très
over, sur
now, maintenant
could, pourrait
after, après
even, même
because, parce que
us, nous
said, dit
good, bon
way, manière
two, deux
should, devrait
work, travailler
use, utiliser
through, à travers
see, voir
know, savoir
did, fait
much, beaucoup
where, où
years, années
need, besoin
him, lui
back, retour
such, tel
those, ceux
being, étant
day, jour
take, prendre
while, pendant
here, ici
before, avant
does, fait
great, génial
year, année
go, aller
help, aider
want, vouloir
really, vraiment
think, penser
best, meilleur
life, vie
each, chaque
made, fait
right, droit
world, monde
business, affaires
home, maison
own, propre
down, bas
still, encore
used, utilisé
find, trouver
around, autour
going, en cours
both, les deux
last, dernier
off, éteindre
too, trop
same, même
information, information
little, petit
another, un autre
look, regarder
few, quelques
long, long
part, partie
since, depuis
things, choses
place, endroit
am, suis
between, entre
during, pendant
different, différent
must, devoir
come, venir
using, utilisant
however, cependant
without, sans
high, haut
why, pourquoi
something, quelque chose
online, en ligne
system,système
better, meilleur
three, trois
never, jamais
always, toujours
love, amour
say, dire
might, pourrait
next, suivant
company, entreprise
state, état
number, nombre
again, encore
free, libre
lot, beaucoup
under, sous
family, famille
found, trouvé
within, dans
give, donner
set, ensemble
school, école
important, important
water, eau
able, capable
keep, garder
got, obtenu
sure, sûr
end, fin
money, argent
service, service
small, petit
put, mettre
experience, expérience
having, ayant
once, une fois
available, disponible
health, santé
support, soutien
often, souvent
including, y compris
days, jours
away, loin
old, vieux
area, zone
feel, ressentir
read, lire
show, montrer
big, grand
against, contre
thing, chose
order, ordre
program, programme
though, bien que
city, ville
group, groupe
services, services
site, site
making, faire
course, cours
point, point
children, enfants
times, fois
team, équipe
game, jeu
along, le long
let, laisser
house, maison
today, aujourd'hui
body, corps
working, travail
case, cas
man, homme
real, réel
provide, fournir
care, soin
public, public
top, dessus
looking, regarder
several, plusieurs
start, commencer
less, moins
process, processus
become, devenir
actually, en fait
local, local
together, ensemble
person, personne
change, changer
book, livre
enough, assez
getting, obtenir
week, semaine
power, pouvoir
until, jusqu'à
market, marché
fact, fait
god, dieu
food, nourriture
students, étudiants
full, complet
women, femmes
community, communauté
name, nom
second, deuxième
data, données
government, gouvernement
says, dit
others, autres
ever, jamais
yet, encore
research, recherche
done, fait
left, gauche
far, loin
large, grand
called, appelé
doing, faire
already, déjà
development, développement
social, social
open, ouvert
possible, possible
side, côté
play, jouer
means, moyens
needs, besoins
try, essayer
came, venu
ca, ça
based, basé
hard, dur
thought, pensé
products, produits
national, national
quality, qualité
level, niveau
live, vivre
design, design
makes, fait
project, projet
line, ligne
night, nuit
least, au moins
whether, si
job, travail
car, voiture
example, exemple
include, inclure
following, suivant
given, donné
website, site web
past, passé
plan, plan
offer, offre
buy, acheter
call, appel
went, allé
simply, simplement
hand, main
music, musique
easy, facile
problem, problème
men, hommes
country, pays
took, pris
four, quatre
members, membres
form, forme
personal, personnel
control, contrôle
energy, énergie
room, chambre
head, tête
pay, payer
create, créer
run, courir
kind, genre
credit, crédit
almost, presque
believe, croire
quite, assez
mind, esprit
law, loi
early, tôt
comes, vient
states, états
usually, habituellement
companies, entreprises
web, web
started, commencé
later, plus tard
although, bien que
story, histoire
per, par
future, avenir
known, connu
someone, quelqu'un
across, à travers
rather, plutôt
young, jeune
whole, entier
special, spécial
everything, tout
months, mois
anything, n'importe quoi
training, formation
url, url
bit, un peu
seen, vu
product, produit
american, américain
please, s'il vous plaît
management, gestion
cost, coût
either, soit
light, lumière
university, université
face, visage
due, dû
nothing, rien
human, humain
event, événement
history, histoire
probably, probablement
friends, amis
learn, apprendre
current, actuel
tell, dire
general, général
price, prix
list, liste
type, type
building, bâtiment
industry, industrie
bad, mauvais
check, vérifier
everyone, tout le monde
office, bureau
idea, idée
internet, internet
news, nouvelles
million, million
video, vidéo
among, parmi
air, air
especially, spécialement
told, dit
results, résultats
post, publication
hours, heures
international, international
center, centre
understand, comprendre
above, au-dessus
addition, addition
major, majeur
education, éducation
white, blanc
particular, particulier
problems, problèmes
media, médias
according, selon
upon, sur
page, page
continue, continuer
black, noir
study, étude
issues, problèmes
inside, à l'intérieur
technology, technologie
five, cinq
value, valeur
further, plus loin
access, accès
reason, raison
short, court
true, vrai
simple, simple
natural, naturel
amount, montant
search, recherche
result, résultat
taken, pris
main, principal
heart, cœur
space, espace
financial, financier
ago, il y a
trying, essayant
question, question
living, vivant
likely, probable
interest, intérêt
various, divers
insurance, assurance
common, commun
move, bouger
child, enfant
yourself, vous-même
report, rapport
certain, certain
share, partager
single, unique
close, proche
instead, au lieu
bring, apporter
works, travaux
age, âge
season, saison
hope, espoir
coming, venir
areas, zones
ask, demander
medical, médical
low, bas
games, jeux
turn, tourner
key, clé
party, fête
add, ajouter
month, mois
seems, semble
view, vue
fun, amusement
matter, question
words, mots
needed, nécessaire
